"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","2006-09","2006","09","20.7","E","6.3","","13.6","E","31.6","E","-1.4","","41.5","","0.0","","41.5","","0","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","2006-10","2006","10","8.7","","-1.7","","3.5","","26.1","","-8.1","","8.5","I","2.5","I","11.0","I","","M","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","2006-11","2006","11","0.1","","-9.2","","-4.6","","12.4","","-23.4","","3.5","","14.0","","17.5","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","2006-12","2006","12","-4.7","","-14.6","","-9.7","","1.3","","-29.3","","0.0","","36.0","","36.0","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","2007-01","2007","01","-9.8","","-22.2","","-16.0","","5.8","","-37.6","","0.0","","11.5","I","11.5","I","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","2007-02","2007","02","-13.4","","-24.2","","-18.8","","-0.8","","-41.7","","0.0","","19.0","","19.0","","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","2007-03","2007","03","0.3","","-10.5","","-5.1","","9.3","","-30.8","","34.2","E","23.5","E","57.7","E","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","2007-04","2007","04","11.7","","-3.3","","4.2","","26.7","","-13.6","","5.0","","10.9","E","15.9","E","","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","2007-05","2007","05","18.0","","6.3","","12.2","","31.3","","-1.5","","72.5","","0.0","","72.5","","0","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","2007-06","2007","06","23.4","","11.2","","17.3","","30.7","","-1.0","","123.0","","0.0","","123.0","","0","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","2007-07","2007","07","28.0","E","14.4","E","21.3","E","35.3","B","7.6","E","60.5","","0.0","","60.5","","0","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","2007-08","2007","08","24.5","","10.6","","17.6","","31.0","","3.7","","24.5","","0.0","","24.5","","0","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","2007-09","2007","09","19.8","","6.5","","13.2","","31.6","","-1.2","","30.0","","0.0","","30.0","","0","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","2007-10","2007","10","12.2","","0.8","","6.5","","23.1","","-6.9","","46.5","","0.0","","46.5","","0","","","","",""
"-97.23","49.92","WINNIPEG RICHARDSON INT'L A","5023222","2007-11","2007","11","0.4","","-8.4","","-4.0","","17.4","","-26.5","","2.0","E","7.5","E","9.5","E","","","","","",""
